strategy_2_n,Index_Name,Event_Type,count,mean,median,std_dev,min,max,5PCT,25PCT,50PCT,75PCT,95PCT,Net_count,Net_mean,Net_median,Net_std_dev,Net_min,Net_max,Net_5PCT,Net_25PCT,Net_50PCT,Net_75PCT,Net_95PCT
3.0,S&P MidCap 400,Index Review,55,-0.0017274638839821,-0.0002756456611044,0.0151864555978349,-0.0518479686487019,0.0284162147263917,-0.0259167459352728,-0.0092262565692787,-0.0002756456611044,0.0078063249997085,0.022060895610111,55,0.001095235365078,0.002967472792533,0.0132224034470542,-0.0477995017833513,0.0318104721202894,-0.0216194524896835,-0.0052046196991999,0.002967472792533,0.0088904597160185,0.0167285312594113
4.0,S&P MidCap 400,Index Review,55,-0.0007600022412347,0.0012342465028673,0.0145657690038073,-0.0518417626035799,0.0261956339013282,-0.0241037136390363,-0.0082878324960963,0.0012342465028673,0.006895889888718,0.0215267262236957,55,0.0013776678900458,0.0006496203944971,0.0110699714786205,-0.0368242610800433,0.0280768910629146,-0.015330659553551,-0.0029417972790909,0.0006496203944971,0.0079845018674375,0.0188979774246673
5.0,S&P MidCap 400,Index Review,55,-0.0017795351617484,0.0010860220433056,0.011717425792482,-0.0400962673804101,0.0145346938548723,-0.0247354205398066,-0.0075339164018922,0.0010860220433056,0.0059404850056349,0.0131510811277998,55,-0.0007544169458237,0.0001814241884113,0.0079632891288376,-0.0249386469254248,0.014406198488435,-0.0123468140842749,-0.005255999939718,0.0001814241884113,0.0041315100618467,0.0102019196940098
6.0,S&P MidCap 400,Index Review,55,-0.0017657919405344,0.0014072184626972,0.0111712216539995,-0.0357584689232522,0.0155138577939738,-0.025953836946044,-0.0062962657748127,0.0014072184626972,0.0052159844921836,0.0114251545209312,55,-0.0011559310457272,-0.0005447418025551,0.007403273971843,-0.0216368969992792,0.0135447603065567,-0.0183672450868466,-0.0051091206648536,-0.0005447418025551,0.0038088960483168,0.0101204391846287
7.0,S&P MidCap 400,Index Review,55,-0.0022054310765974,-0.0009655878488012,0.0102476873342651,-0.0389368380873525,0.0187965839314372,-0.0231696493014508,-0.0058497831351371,-0.0009655878488012,0.0038384084360812,0.0104320840864222,55,-0.0008630228378984,-0.0009136784151579,0.0074953570555955,-0.0254100862883735,0.0156612174172947,-0.0138990572062957,-0.0040853288057003,-0.0009136784151579,0.0044371999075264,0.0083500809850472
8.0,S&P MidCap 400,Index Review,55,-0.0006194045538981,0.0005549772793844,0.0088249296383256,-0.0332271617448519,0.0166333978736774,-0.0135706633661499,-0.0055997569113591,0.0005549772793844,0.0045530045944489,0.0126972060134888,55,-0.0004107935515704,-0.0008113570898586,0.0069382573457952,-0.0255195206510652,0.0125681350536632,-0.0108341158680442,-0.0043438753078073,-0.0008113570898586,0.0051185350607598,0.009466097441104
9.0,S&P MidCap 400,Index Review,55,-0.0005128124837003,0.0008211410536042,0.0084699284003294,-0.0360182062779036,0.0163676063965526,-0.0144443461006073,-0.0045277967451123,0.0008211410536042,0.0045786374903443,0.0116060910186586,55,-0.0001804702059909,0.0008853695849715,0.006660884380152,-0.0267874112410088,0.0110814284532948,-0.0099985591427241,-0.0032663413798784,0.0008853695849715,0.0048483648509313,0.007422340165354
10.0,S&P MidCap 400,Index Review,55,-1.5432194888125376e-05,-0.0001978494423319,0.0084873896566811,-0.0342371381943511,0.0155261286300873,-0.0139033800889345,-0.0029968340405326,-0.0001978494423319,0.0058523851206224,0.0100218058790692,55,-0.0001501086152265,0.0007391558089619,0.0064028875659071,-0.0253858455544001,0.0113364165732183,-0.0088719599166521,-0.0041485961986579,0.0007391558089619,0.0045882237610221,0.0085150278593611
11.0,S&P MidCap 400,Index Review,55,-0.0007138889040978,-0.0005000067067932,0.0077154218717263,-0.0295313756204228,0.0124103127174081,-0.0120640500246118,-0.0047498521641036,-0.0005000067067932,0.0048999356022471,0.0098762687067373,55,-0.0001684074669042,0.0002297602683407,0.0062199894484969,-0.024088439230676,0.0108131585927125,-0.0082274374343697,-0.0037118498177371,0.0002297602683407,0.0042508115353283,0.0084375790612302
12.0,S&P MidCap 400,Index Review,55,-0.0004318027972717,-0.0004076309299465,0.0063017157432669,-0.0200468194532782,0.0100869229915359,-0.0115823527028482,-0.003234789695528,-0.0004076309299465,0.0045341799003346,0.0081970568803433,55,0.0002293923129729,-4.243067478759992e-05,0.0054238445659822,-0.0185564766982951,0.0094673226427486,-0.0071264338077277,-0.0031850940979149,-4.243067478759992e-05,0.0041679307405805,0.007668514520669
13.0,S&P MidCap 400,Index Review,55,-0.0002297086254274,0.0005458415571504,0.006119760314061,-0.0243541244964218,0.0096617359398935,-0.0108770003298668,-0.0026627141331615,0.0005458415571504,0.0036096671404748,0.0074542712912959,55,0.0001290085951066,-0.000487332606262,0.0053529533466299,-0.0224581019542613,0.0094724277047811,-0.0066531008506255,-0.0030120700707652,-0.000487332606262,0.0040215284827968,0.0082140424065707
14.0,S&P MidCap 400,Index Review,55,-0.0001583344979576,0.0008428183965688,0.0059468605248842,-0.0253642355197364,0.0105729065950035,-0.0098977346351528,-0.0024092941706593,0.0008428183965688,0.0033793257352844,0.0070584736393513,55,0.000166317336809,0.0006435594120191,0.0051816003712015,-0.0232052489379791,0.0089105718708396,-0.0058980872199594,-0.0023140431787933,0.0006435594120191,0.0032556123657947,0.0075083742300981
