Date,Total_Position_Size,Total_Sale_Proceeds,RGL,Transaction_Costs,Slippage_Cost,Short_Overnight_Cost,Cumulative_Net_PnL
2022-06-29,2773525.937925118,2752725.78224199,20800.15568312764,4158.62344,0.037158549863788325,1130.686738529473,15510.808346048301
2022-09-27,5000000.0,4200992.127335517,799007.8726644836,3653.312584954313,0.027193477138515693,3076.7123287671243,807788.6289033333
2022-12-28,2089095.2023143768,2101543.815864563,-12448.613550186157,1212.9360000000001,0.010589814142647373,1820.088422838279,792306.9803404948
2023-03-28,5000000.0,5164135.916280166,-164135.91628016526,2926.355852585601,0.06467519838132102,4705.479452054794,620539.1640804907
2023-09-26,5000000.0,4772592.379774737,227407.62022526312,2336.1863381628405,0.046723542742643946,5182.191780821918,840428.3594632263
2023-12-27,5000000.0,5003258.838581517,-3258.8385815169895,1735.3436065478404,0.04901259050683515,5204.109589041095,830230.0186735298
2024-03-26,5000000.0,5320574.1702607,-320574.1702606998,1450.8939095250478,0.04768877455227309,5187.671232876712,503017.2355816537
2024-07-02,5000000.0,4849023.504613751,150976.4953862505,1204.948873397549,0.17115518468791494,5217.808219178082,647570.8027201439
2024-10-01,5000000.0,5017483.616132593,-17483.616132593364,4355.045486065144,0.07240922442271412,4843.835616438356,620888.2330758226
